Time	RHum	Temp	Wind Direction	Wind Speed	Gust	Rain	Radiation	mBar
2017:03:07:17:12:03	87	36	101	5	6	0.00	35.32	1015.6
2017:03:07:17:11:03	87	36	90	4	5	0.00	35.46	1015.6
2017:03:07:17:10:03	87	36	84	5	6	0.00	34.88	1015.6
2017:03:07:17:09:03	86	36	114	7	8	0.00	34.85	1015.6
2017:03:07:17:08:03	87	36	98	7	8	0.00	35.39	1015.6
2017:03:07:17:07:03	87	36	99	5	7	0.00	34.45	1015.7
2017:03:07:17:06:03	87	36	102	6	8	0.01	34.34	1015.7
2017:03:07:17:05:03	87	36	102	6	8	0.00	33.33	1015.8
2017:03:07:17:04:03	87	36	102	4	5	0.00	32.42	1015.8
2017:03:07:17:10:03	87	36	84	5	6	0.00	34.88	1015.6
2017:03:07:17:09:03	86	36	114	7	8	0.00	34.85	1015.6
2017:03:07:17:08:03	87	36	98	7	8	0.00	35.39	1015.6
2017:03:07:17:07:03	87	36	99	5	7	0.00	34.45	1015.7
2017:03:07:17:06:03	87	36	102	6	8	0.01	34.34	1015.7
2017:03:07:17:05:03	87	36	102	6	8	0.00	33.33	1015.8
2017:03:07:17:04:03	87	36	102	4	5	0.00	32.42	1015.8
2017:03:07:17:03:03	87	36	89	5	7	0.00	31.18	1015.7
2017:03:07:17:02:03	87	36	98	7	8	0.00	31.11	1015.8
2017:03:07:17:01:03	86	36	97	8	8	0.00	31.88	1015.8
2017:03:07:17:00:03	86	36	104	9	10	0.00	33.97	1015.8
2017:03:07:16:59:03	87	36	106	6	9	0.00	34.21	1015.8
2017:03:07:16:58:03	86	36	94	6	7	0.00	33.84	1015.8
2017:03:07:16:57:03	86	36	86	7	8	0.00	34.17	1015.8
2017:03:07:16:56:03	86	36	102	7	8	0.00	37.14	1015.8
2017:03:07:16:55:03	87	36	103	6	9	0.00	37.48	1015.8
2017:03:07:16:54:03	86	36	89	6	7	0.00	37.75	1015.9
2017:03:07:16:53:03	86	36	89	6	8	0.00	39.23	1015.9
2017:03:07:16:52:03	87	37	96	6	7	0.00	39.43	1015.9
2017:03:07:16:51:03	87	37	94	4	5	0.00	38.22	1015.9
2017:03:07:16:50:03	87	36	103	5	6	0.00	38.05	1015.9
2017:03:07:16:49:03	86	36	97	6	7	0.01	36.94	1015.9
2017:03:07:16:48:03	86	37	104	5	7	0.00	36.77	1015.9
2017:03:07:16:47:03	87	37	88	5	5	0.00	36.50	1015.9
2017:03:07:16:46:03	87	36	92	5	6	0.00	36.63	1015.9
2017:03:07:16:45:03	87	36	75	4	5	0.00	37.65	1015.9
2017:03:07:16:44:03	86	36	110	6	9	0.00	37.81	1015.9
2017:03:07:16:43:03	86	36	99	5	7	0.00	35.86	1015.9
2017:03:07:16:42:03	86	37	83	8	10	0.00	35.25	1016.0
2017:03:07:16:41:03	86	37	102	4	7	0.01	35.08	1016.0
2017:03:07:16:40:03	86	37	81	5	6	0.00	34.24	1016.0
2017:03:07:16:39:03	86	37	85	5	7	0.00	31.88	1016.0
2017:03:07:16:38:03	86	37	100	6	7	0.00	31.61	1016.0
2017:03:07:16:37:03	86	37	98	6	7	0.00	31.28	1016.0
2017:03:07:16:36:03	86	37	89	5	5	0.00	31.01	1016.0
2017:03:07:16:35:03	86	37	91	6	6	0.00	30.27	1016.0
2017:03:07:16:34:03	86	37	98	5	8	0.01	29.02	1016.0
2017:03:07:16:33:03	86	37	82	5	6	0.00	28.55	1016.0
2017:03:07:16:32:03	87	37	67	4	5	0.00	27.10	1016.0
2017:03:07:16:31:03	86	37	96	4	4	0.00	25.11	1016.0
2017:03:07:16:30:03	86	37	90	5	5	0.00	25.21	1016.0
2017:03:07:16:29:03	87	37	87	4	6	0.00	25.38	1016.0
2017:03:07:16:28:03	86	37	93	4	5	0.01	24.37	1016.0
2017:03:07:16:27:03	86	37	94	6	7	0.00	24.33	1016.0
2017:03:07:16:26:03	86	37	87	4	5	0.00	24.50	1016.0
2017:03:07:16:25:03	86	37	50	5	6	0.00	23.89	1016.0
2017:03:07:16:24:03	86	37	60	3	5	0.00	23.32	1016.0
2017:03:07:16:23:03	87	37	71	5	6	0.00	23.59	1016.0
2017:03:07:16:22:03	87	37	92	3	5	0.00	23.36	1016.0
2017:03:07:16:21:03	86	37	86	3	6	0.00	22.04	1016.0
2017:03:07:16:20:03	86	37	81	3	3	0.00	20.12	1016.0
2017:03:07:16:19:03	86	37	61	4	6	0.00	20.49	1016.0
2017:03:07:16:18:03	86	37	61	3	5	0.01	19.04	1016.0
2017:03:07:16:17:03	86	37	71	2	4	0.00	18.30	1016.0
2017:03:07:16:16:03	86	37	70	4	7	0.00	17.59	1016.0
2017:03:07:16:15:03	86	37	85	5	5	0.00	18.00	1016.1
2017:03:07:16:14:03	86	37	76	6	7	0.00	19.41	1016.0
2017:03:07:16:13:03	86	37	83	5	7	0.00	19.28	1016.0
2017:03:07:16:12:03	86	37	97	6	7	0.00	19.75	1016.1
2017:03:07:16:11:03	86	37	111	5	6	0.01	20.25	1016.0
2017:03:07:16:10:03	86	37	102	4	6	0.00	21.06	1016.0
2017:03:07:16:09:03	86	37	65	5	6	0.00	21.20	1016.0
