<head/><TITLE>ATG rooftop data for 7 March 2017</TITLE>
<H2>ATG rooftop data for 7 March 2017</H2>

THIS DATA IS SUBJECT TO ERRORS.

All times are <a href=/utc.html>UTC</a>.
<p>
<PRE>
			Wind 
  Time	  RHum 	 Temp	Direct	Speed	Gust	Rain	Radiation    Pres
	   (%)    (F)           (knot)  (knot) (inch)   (Watts m-2) (mbar)

05:21:03    74     38     167       8     11    0.00         0.00   1016.1
05:20:03    74     38     169       8     10    0.00         0.00   1016.0
05:19:03    74     38     176       8     11    0.00         0.00   1016.0
05:18:03    73     38     166       9     11    0.00         0.00   1016.0
05:17:03    73     38     162       8     11    0.00         0.00   1016.0
05:16:03    72     38     160       9     11    0.00         0.00   1016.1
05:15:03    72     38     165       8     10    0.00         0.00   1016.1
05:14:03    72     38     151       7      9    0.00         0.00   1016.0
05:13:03    72     38     136       7      8    0.00         0.00   1016.0
05:12:03    71     38     140       6      6    0.00         0.00   1016.0
05:11:03    71     39     135       5      7    0.00         0.00   1016.0
05:10:03    70     39     151       6      6    0.00         0.00   1016.0
05:09:03    69     39     150       6      7    0.00         0.00   1016.0
05:08:03    68     39     142       5      7    0.00         0.00   1016.1
05:07:03    68     39     149       5      6    0.00         0.00   1016.0
05:06:03    68     39     163       6      7    0.00         0.00   1016.0
05:05:03    68     39     176       7      8    0.00         0.00   1016.0
05:04:03    68     39     187       6      8    0.00         0.00   1016.0
05:03:03    68     39     174       6      8    0.00         0.00   1016.0
05:02:03    68     39     193       5      6    0.00         0.00   1016.0
05:01:03    69     39     189       7     10    0.00         0.00   1016.0
05:00:03    69     39     190       8      9    0.00         0.00   1016.0
04:59:03    69     39     188       7      9    0.00         0.00   1016.0
04:58:03    70     39     205       5      7    0.00         0.00   1016.0
04:57:03    70     39     178       6      7    0.00         0.00   1016.0
04:56:03    70     39     152       6      6    0.00         0.00   1016.0
04:55:03    71     39     196       6      7    0.00         0.00   1016.0
04:54:03    71     39     180       5      7    0.00         0.00   1016.0
04:53:03    72     39     183       6      6    0.00         0.00   1016.0
04:52:03    72     39     170       5      6    0.00         0.00   1016.0
04:51:03    72     38     179       3      4    0.00         0.00   1016.0
04:50:03    72     38     176       5      6    0.00         0.00   1016.0
04:49:03    72     38     165       4      4    0.00         0.00   1016.0
04:48:03    72     39     236       3      3    0.00         0.00   1016.0
04:47:03    72     39     173       3      4    0.00         0.00   1016.0
04:46:03    72     39      78       0      0    0.00         0.00   1016.0
04:45:03    73     39      95       1      3    0.00         0.00   1016.0
04:44:03    73     38     117       3      4    0.00         0.00   1016.0
04:43:03    72     38     117       1      2    0.00         0.00   1015.9
04:42:03    72     38     144       1      2    0.00         0.00   1015.9
04:41:03    72     39     161       3      5    0.00         0.00   1015.9
04:40:03    72     39     179       5      6    0.00         0.00   1015.9
04:39:03    72     39     168       4      5    0.00         0.00   1016.0
04:38:03    72     39     175       3      4    0.00         0.00   1015.9
04:37:03    73     39     191       3      3    0.00         0.00   1015.9
04:36:03    73     39     128       2      4    0.00         0.00   1015.9
04:35:03    73     39     177       5      6    0.00         0.00   1015.9
04:34:03    73     39     113       4      5    0.00         0.00   1016.0
04:33:03    74     39      99       5      6    0.00         0.00   1015.9
04:32:03    74     39      95       3      4    0.00         0.00   1015.9
04:31:03    74     39     107       3      4    0.00         0.00   1015.9
04:30:03    74     38      98       2      3    0.00         0.00   1015.9
04:29:03    74     38     131       3      3    0.00         0.00   1015.9
04:28:03    74     38     221       2      3    0.00         0.00   1015.9
04:27:03    74     38     230       3      3    0.00         0.00   1015.9
04:26:03    74     38     234       2      3    0.00         0.00   1015.9
04:25:03    74     38     165       2      3    0.00         0.00   1015.9
04:24:03    74     38     178       4      5    0.00         0.00   1015.9
04:23:03    73     39     195       3      4    0.00         0.00   1015.9
04:22:03    73     39     175       3      4    0.00         0.00   1015.9
04:21:03    74     39      96       4      5    0.00         0.00   1015.9
04:20:03    74     39      99       3      5    0.00         0.00   1015.8
04:19:03    73     39     168       4      4    0.00         0.00   1015.8
04:18:03    73     39     133       4      5    0.00         0.00   1015.9
04:17:03    73     39     149       4      4    0.00         0.00   1015.9
04:16:03    73     39     122       5      6    0.00         0.00   1015.9
04:15:03    72     39     142       5      6    0.00         0.00   1015.9
04:14:03    72     39     120       4      7    0.00         0.00   1015.9
04:13:03    71     39     130       4      6    0.00         0.00   1015.9
04:12:03    71     39     156       4      5    0.00         0.00   1015.9
04:11:03    71     39     142       4      5    0.00         0.00   1015.9
04:10:03    71     39     180       4      5    0.00         0.00   1015.9
04:09:03    72     39     135       4      5    0.00         0.00   1015.9
04:08:03    71     39     125       6      7    0.00         0.00   1015.9
04:07:03    71     39     141       5      7    0.00         0.00   1015.8
04:06:03    70     39     168       3      4    0.00         0.00   1015.8
04:05:03    70     38     221       5      6    0.00         0.00   1015.8
04:04:03    70     38     216       6      7    0.00         0.00   1015.8
04:03:03    70     38     213       5      6    0.00         0.00   1015.7
04:02:03    70     38     217       7      8    0.00         0.00   1015.7
04:01:03    70     38     202       7     10    0.00         0.00   1015.7
04:00:03    70     39     209       6      7    0.00         0.00   1015.7
03:59:03    69     38     208       6      8    0.00         0.00   1015.7
03:58:03    69     39     212       7      8    0.00         0.00   1015.7
03:57:03    69     39     212       6      7    0.00         0.00   1015.7
03:56:03    70     39     198       6      8    0.00         0.00   1015.6
03:55:03    70     39     198       8      9    0.00         0.00   1015.6
03:54:03    70     39     213       8      9    0.00         0.00   1015.6
03:53:03    69     39     217       9     11    0.00         0.00   1015.6
03:52:03    69     39     213       9     10    0.00         0.00   1015.6
03:51:03    70     39     201      10     11    0.00         0.00   1015.6
03:50:03    69     39     167       8      8    0.00         0.00   1015.6
03:49:03    70     39     183       9      9    0.00         0.00   1015.6
03:48:03    70     39     164       7      9    0.00         0.00   1015.6
03:47:03    70     39     208       6      7    0.00         0.00   1015.6
03:46:03    70     39     195       6      8    0.00         0.00   1015.5
03:45:03    71     39     181       6      8    0.00         0.00   1015.5
03:44:03    71     39     178       7      7    0.00         0.00   1015.5
03:43:03    70     38     178       7      9    0.00         0.00   1015.5
03:42:03    71     39     183       6      8    0.00         0.00   1015.5
03:41:03    71     39     174       7      8    0.00         0.00   1015.5
03:40:03    72     39     166       6      8    0.00         0.00   1015.5
03:39:03    72     39     176       3      4    0.00         0.00   1015.5
03:38:03    72     39     189       4      5    0.00         0.00   1015.4
03:37:03    72     38     147       4      5    0.00         0.00   1015.4
03:36:03    73     39     184       2      3    0.00         0.00   1015.4
03:35:03    72     38     164       3      4    0.00         0.00   1015.4
03:34:03    72     39     149       3      5    0.00         0.00   1015.4
03:33:03    72     38     135       3      4    0.00         0.00   1015.4
03:32:03    72     38     176       4      5    0.00         0.00   1015.4
03:31:03    71     38     166       5      6    0.00         0.00   1015.4
03:30:03    72     38     157       6      7    0.00         0.00   1015.4
03:29:03    72     39     155       6      7    0.00         0.00   1015.4
03:28:03    71     39     155       4      5    0.00         0.00   1015.4
03:27:03    71     39     144       5      6    0.00         0.00   1015.4
03:26:03    72     39     137       5      6    0.00         0.00   1015.3
03:25:03    72     38     140       4      5    0.00         0.00   1015.3
03:24:03    72     38     162       5      5    0.00         0.00   1015.3
03:23:03    72     38     163       6      7    0.00         0.00   1015.3
03:22:03    72     38     178       7      7    0.00         0.00   1015.3
03:21:03    72     38     170       9     11    0.00         0.00   1015.3
03:20:03    72     38     181       9     10    0.00         0.00   1015.3
03:19:03    72     38     162      10     11    0.00         0.00   1015.2
03:18:03    72     38     163      11     13    0.00         0.00   1015.2
03:17:03    72     38     201       7      9    0.00         0.00   1015.2
03:16:03    72     38     186       8     10    0.00         0.00   1015.2
03:15:03    72     38     150       7      9    0.00         0.00   1015.1
03:14:03    72     38     164       9     10    0.00         0.00   1015.1
03:13:03    72     38     191       8      9    0.00         0.00   1015.2
03:12:03    71     38     183      10     13    0.00         0.00   1015.2
03:11:03    72     38     170       6      8    0.00         0.00   1015.2
03:10:03    72     38     162       9     10    0.00         0.00   1015.2
